Date,Open,High,Low,Close,Adj Close,Volume
2013-09-23,170.490005,170.649994,169.389999,169.929993,141.633469,104616500
2013-09-24,169.899994,170.529999,169.210007,169.529999,141.30011,106333100
2013-09-25,169.639999,169.979996,168.889999,169.039993,140.891663,117306500
2013-09-26,169.320007,170.169998,169.050003,169.690002,141.433441,77146900
2013-09-27,168.839996,169.139999,168.470001,168.910004,140.78334,99141800
2013-09-30,167.479996,168.539993,167.149994,168.009995,140.033188,143937000
2013-10-01,168.139999,169.5,167.970001,169.339996,141.141724,127160000
2013-10-02,168.350006,169.339996,167.830002,169.179993,141.008362,113350000
2013-10-03,168.789993,168.940002,166.839996,167.619995,139.708115,176698000
2013-10-04,167.75,169.059998,167.529999,168.889999,140.766678,96878000
2013-10-07,167.419998,168.449997,167.25,167.429993,139.549789,96295000
2013-10-08,167.399994,167.619995,165.360001,165.479996,137.924515,178015000
2013-10-09,165.800003,166.199997,164.529999,165.600006,138.024521,168973000
2013-10-10,167.289993,169.259995,167.229996,169.169998,141.000046,195955000
2013-10-11,168.910004,170.320007,168.770004,170.259995,141.908508,105040000
2013-10-14,169.210007,171.080002,169.080002,170.940002,142.475281,112106000
2013-10-15,170.509995,171.149994,169.470001,169.699997,141.441757,155485000
2013-10-16,170.720001,172.160004,170.639999,172.070007,143.417114,161676000
2013-10-17,171.369995,173.320007,171.339996,173.220001,144.375626,129389000
2013-10-18,173.860001,174.509995,173.509995,174.389999,145.3508,138316000
2013-10-21,174.449997,174.75,174.009995,174.399994,145.359146,104104000
2013-10-22,174.910004,175.929993,174.429993,175.410004,146.201019,126663000
2013-10-23,174.809998,174.889999,173.960007,174.570007,145.500824,105484000
2013-10-24,174.919998,175.369995,174.509995,175.149994,145.984299,70350000
2013-10-25,175.509995,176,175.169998,175.949997,146.651031,93625000
2013-10-28,175.889999,176.470001,175.699997,176.229996,146.884354,84979000
2013-10-29,176.630005,177.240005,176.380005,177.169998,147.667908,87401000
2013-10-30,177.380005,177.509995,175.660004,176.289993,146.934464,140002000
2013-10-31,176.149994,176.889999,175.529999,175.789993,146.517624,133795000
2013-11-01,176.020004,176.610001,175.220001,176.210007,146.867767,142805000
2013-11-04,176.690002,176.899994,175.979996,176.830002,147.384521,85677000
2013-11-05,176.139999,176.75,175.570007,176.270004,146.917725,85825000
2013-11-06,177.029999,177.5,176.539993,177.169998,147.667908,87348000
2013-11-07,177.5,177.639999,174.759995,174.929993,145.800873,157000000
2013-11-08,174.869995,177.309998,174.850006,177.289993,147.767929,136713000
2013-11-11,177.119995,177.529999,176.910004,177.320007,147.792862,62614000
2013-11-12,176.940002,177.360001,176.369995,176.960007,147.492874,83990000
2013-11-13,176.089996,178.429993,176.089996,178.380005,148.676392,103844000
2013-11-14,178.539993,179.419998,178.25,179.270004,149.418198,103435000
2013-11-15,179.559998,180.119995,179.330002,180.050003,150.068375,102818000
2013-11-18,180.350006,180.5,179.020004,179.419998,149.543228,104796000
2013-11-19,179.330002,179.869995,178.720001,179.029999,149.21814,93891000
2013-11-20,179.389999,179.929993,177.979996,178.470001,148.751434,124909000
2013-11-21,178.970001,180.050003,178.860001,179.910004,149.951584,92841000
2013-11-22,179.979996,180.830002,179.770004,180.809998,150.701736,81296000
2013-11-25,181.130005,181.169998,180.369995,180.630005,150.551727,79486000
2013-11-26,180.720001,181.220001,180.410004,180.679993,150.59343,86994000
2013-11-27,180.869995,181.240005,180.649994,181.119995,150.960144,58800000
2013-11-29,181.320007,181.75,180.800003,181,150.860077,55870900
2013-12-02,181.089996,181.429993,180.25,180.529999,150.468369,99726000
2013-12-03,179.940002,180.389999,179.169998,179.75,149.818314,116563000
2013-12-04,179.100006,180.479996,178.350006,179.729996,149.80162,123033000
2013-12-05,179.410004,179.740005,178.770004,178.940002,149.143173,106934000
2013-12-06,180.669998,181.110001,180.149994,180.940002,150.810089,127728000
2013-12-09,181.470001,181.669998,181.160004,181.399994,151.193497,70124000
2013-12-10,180.979996,181.360001,180.639999,180.75,150.651779,80976000
2013-12-11,180.820007,180.850006,178.5,178.720001,148.959763,130591000
2013-12-12,178.639999,178.860001,177.759995,178.130005,148.468048,115565000
2013-12-13,178.5,178.660004,177.770004,178.110001,148.45137,107808000
2013-12-16,178.949997,179.809998,178.899994,179.220001,149.376526,96195000
2013-12-17,179.380005,179.410004,178.25,178.649994,148.901474,89886000
2013-12-18,178.919998,181.729996,177.320007,181.699997,151.443558,234906000
2013-12-19,181.179993,181.699997,180.710007,181.490005,151.268539,136531200
2013-12-20,180.690002,181.990005,180.570007,181.559998,152.148438,197087000
2013-12-23,182.449997,182.639999,182.070007,182.529999,152.961288,85598000
2013-12-24,182.539993,183.009995,182.529999,182.929993,153.296494,45368800
2013-12-26,183.339996,183.960007,183.320007,183.860001,154.075867,63365000
2013-12-27,184.100006,184.179993,183.660004,183.850006,154.06749,61814000
2013-12-30,183.869995,184.020004,183.580002,183.820007,154.042328,56857000
2013-12-31,184.070007,184.690002,183.929993,184.690002,154.771454,86119900
2014-01-02,183.979996,184.070007,182.479996,182.919998,153.288132,119636900
2014-01-03,183.229996,183.600006,182.630005,182.889999,153.263016,81390600
2014-01-06,183.490005,183.559998,182.080002,182.360001,152.818878,108028200
2014-01-07,183.089996,183.789993,182.949997,183.479996,153.757431,86144200
2014-01-08,183.449997,183.830002,182.889999,183.520004,153.790894,96582300
2014-01-09,184.110001,184.130005,182.800003,183.639999,153.891525,90683400
2014-01-10,183.949997,184.220001,183.009995,184.139999,154.310501,102026400
2014-01-13,183.669998,184.179993,181.339996,181.690002,152.257355,149892000
2014-01-14,182.289993,183.770004,181.949997,183.669998,153.916656,105016100
2014-01-15,184.100006,184.940002,183.710007,184.660004,154.746277,98525800
2014-01-16,184.279999,184.660004,183.830002,184.419998,154.545135,72290600
2014-01-17,184.100006,184.449997,183.320007,183.639999,153.891525,107848700
2014-01-21,184.699997,184.770004,183.050003,184.179993,154.343979,88621200
2014-01-22,184.490005,184.570007,183.910004,184.300003,154.44455,61270900
2014-01-23,183.369995,183.399994,181.820007,182.789993,153.179214,132496900
2014-01-24,181.600006,181.660004,178.830002,178.889999,149.910934,208677100
2014-01-27,179.059998,179.520004,177.119995,178.009995,149.173553,180843100
2014-01-28,178.139999,179.300003,178.119995,179.070007,150.061798,110463200
2014-01-29,177.580002,178.550003,176.880005,177.350006,148.620453,216597300
2014-01-30,178.830002,179.809998,178.259995,179.229996,150.195892,118938100
2014-01-31,177.009995,179.289993,176.919998,178.179993,149.315994,194677900
2014-02-03,177.970001,178.369995,173.830002,174.169998,145.955551,254837100
2014-02-04,174.949997,175.839996,174.110001,175.389999,146.977875,165012400
2014-02-05,174.779999,175.559998,173.710007,175.169998,146.793564,164230500
2014-02-06,175.580002,177.479996,175.220001,177.479996,148.72934,132877600
2014-02-07,178.309998,179.869995,177.729996,179.679993,150.572998,170787200
2014-02-10,179.699997,180.070007,179.210007,180.009995,150.849518,92218800
2014-02-11,180.160004,182.440002,180.039993,181.979996,152.500381,117814100
2014-02-12,182.25,182.830002,181.710007,182.070007,152.575836,94717700
2014-02-13,180.839996,183.199997,180.830002,183.009995,153.36351,100542200
